% Model:              Hemisphere_vessel - Copy (2).mph
% Version:            COMSOL 5.4.0.295
% Date:               Aug 6 2019, 18:25
% Dimension:          2
% Nodes:              2678
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0.0011319960790112966     0.0012236251416062626    1.6746786796925306       -113.22753439901044
0                         0.0017727272727272726    -0.00784132655662025     -114.90858984621862
0                         0                        -0.025842553911493288    -109.72440571648559
0.0017755272837526891     2.0210933443467044E-5    2.4925246922592135       -109.69199733937016
0.001250850096743368      0.0027104606049000433    1.9739928278832959       -117.75790528254204
0                         0.003545454545454545     -0.0023788108660625085   -120.49750345730753
0.0035501351775715667     8.083329359220556E-5     4.986358315616652        -109.5841815545001
0.0026336030145604253     0.0016147268969605312    3.9573376114148613       -114.20665471051798
0.004463391038365555      0.0015596681439055638    6.6668083622767185       -113.63287630349184
0.005322904972392177      1.8183577946031604E-4    7.477797599992404        -109.40508854775025
0.0013722686547422277     0.004401017354253279     2.331665785096663        -123.27955555161593
0                         0.005318181818181817     -3.5435143115591927E-4   -126.54090759761
0.006162789112324467      0.001682328713842632     9.203802137959515        -113.42033989754545
0.007092916634604007      3.23166042799107E-4      9.962169901227467        -109.15260514671884
0.0014197279202135147     0.006178961509580345     2.6146563993971292       -129.56234782087964
0                         0.007090909090909091     -2.60307927684759E-4     -133.0867218922059
0.007859701395928438      0.0018518319361486863    11.738865076624931       -113.16251184564537
0.008859251199044679      5.04750673397886E-4      12.43692161669658        -108.82804486520767
0.0014367555704888808     0.00795887064967127      2.8728468841564685       -136.38789408975467
0                         0.008863636363636365     -6.387577683426571E-4    -140.19158894112027
0.009562978943990308      0.002063066350081466     14.283318367014067       -112.83753155955611
0.01062099314722067       7.264954556434555E-4     14.899566890093423       -108.43201422374248
0.001440106080429315      0.009744507256509957     3.134307593994407        -143.83298078516552
0                         0.010636363636363638     -0.0011400240913227815   -147.91972792846124
0.01128539990047238       0.0023028460936813304    16.84427946552938        -112.39458392772723
0.0123772311550109        9.882856382522319E-4     17.34796099279221        -107.96445914451685
0.001439484007616087      0.011520280867197        3.4156627210812          -151.89832997501267
0                         0.012409090909090911     -0.0014864203104707485   -156.34427370130427
0.01300275188169458       0.0025849978367441773    19.393609605426537       -111.88573394377015
0.014127054711631944      0.0012899854961911925    19.77980678738669        -107.42567766025866
0.0014391802399516763     0.013294896823881039     3.731278030521177        -160.6947300417668
0                         0.014181818181818184     -0.0018012003829426249   -165.54892996742123
0.014713485927006551      0.0029023744141280076    21.922698175664767       -111.29169754952085
0.015869559116165433      0.0016314391031326916    22.192780373855765       -106.81606774744175
0.0014388663924740496     0.015068124098533331     4.0853878998919795       -170.3090949989093
0                         0.015954545454545457     -0.0020906394152765038   -175.62972005884566
0.016417458361775546      0.0032573218144655125    24.431313028726493       -110.61930846451487
0.017603840815810495      0.0020124695194559936    24.58445405473226        -106.13592999478213
0.0014386099653005125     0.01684066380408767      4.4841021722957635       -180.84635331744653
0                         0.01772727272727273      -0.0024220433089112703   -186.69723912188684
0.01811380575754724       0.003650788527501598     26.917742711255404       -109.8718376340312
0.01932899914946256       0.0024328788964401815    26.952394970376815       -105.38564274774052
0.0014386620207141397     0.01861341014266771      4.9354521585873          -192.42971072930789
0                         0.019500000000000003     -0.0028277107607361054   -198.87930691024863
0.0198013926052988        0.004082884360083276     29.379368522711577       -109.05058424444705
0.021044138696045652      0.0028924489379290584    29.29416430256538        -104.56564918582173
0.0014388514805757213     0.020386256033818148     5.447331645870444        -205.19575533246723
0                         0.02127272727272728      -0.0033099739503844225   -212.32414588717643
0.021478932459854116      0.004553251079809998     31.812960405253857       -108.15599933105227
0.0227483715565337        0.003390941625524529     31.607313749670045       -103.67644806680634
0.0014390233968555217     0.022159066354949738     6.02905641004736         -219.3027172751439
0                         0.023045454545454556     -0.003878297158432057    -227.20428941713172
0.023145186164074173      0.005061431568171417     34.21524092130349        -107.18852976703617
0.02444081560672939       0.003928098900609733     33.889373355071875       -102.71859130822025
0.0014391050460876417     0.02393181591635422      6.692030288673095        -234.93581264140812
0                         0.02481818181818183      -0.004557876060213554    -243.72136107113042
0.0247992965063286        0.005607230450594999     36.5836987522547         -106.14899169752611
0.026120594080442282      0.004503642506007391     36.13784326545528        -101.69268204345899
0.0014391216512178932     0.02570454545454548      7.450399450239199        -252.31244577366274
0                         0.026590909090909106     -0.005381499975025387    -262.11195051851445
0.0014391216512178618     0.02747727272727279      8.321394948674007        -271.6880178853849
0                         0.028363636363636383     -0.006384795636752945    -282.6548738474747
0.026440600497140795      0.006190549847107981     38.91616823887318        -105.03821041790344
0.027786838261690927      0.0051172748902826165    38.35020109182505        -100.5993782462835
0.0014391216512177497     0.02925000000000021      9.32578609464512         -293.36395909441444
0                         0.030136363636363656     -0.007612588247487413    -305.6802079642228
0.0280683570034688        0.006811128505789146     41.210159393549695       -103.85676299568111
0.02943868362437877       0.005768677802052294     40.52390030663485        -99.43939947062843
0.0014391216512172828     0.0310227272727281       10.48882147071985        -317.6978275551524
0                         0.031909090909090936     -0.00912399587150503     -331.580601621172
0.0014391216512153798     0.0327954545454579       11.841485810516096       -345.1158737773622
0                         0.03368181818181821      -0.010996214259800277    -360.8255219859954
0.029681714861047443      0.007468683263765666     43.46304513528242        -102.60543616718098
0.031075272107047407      0.006457512878898589     42.65636965480275        -98.21352734935608
0.0014391216512077692     0.034568181818195376     13.422036395013796       -376.1288911633835
0                         0.03545454545454548      -0.013330810278451585    -393.97932128917745
